Locality,Cluster Full Name,Cluster Name,Region,Subregion,Grouping,Milestone,Reservoir,Associated
Oxnard,CA-SW 28 Ventura,Ventura,CA,SW,Los Angeles,M2,,
Pacific Grove,CA-NC 23 Monterey County,Monterey County,CA,NC,Santa Clara County West,M2,,
Pacifica,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Pala Reservation,CA-SE 13 Escondido,Escondido,CA,SE,San Diego,M3,,
Palm Desert,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Palm Springs,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Palmdale,CA-SW 29 Santa Clarita,Santa Clarita,CA,SW,San Gabriel Valley,M2,,
Palo Alto,CA-NC 04 Santa Clara County West,Santa Clara County West,CA,NC,Santa Clara County West,M3,Reservoir,
Palos Verdes Estates,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Paradise,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Paramount,CA-SW 32 Long Beach,Long Beach,CA,SW,Los Angeles,M2,,
Parlier,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Pasadena,CA-SW 06 San Gabriel Valley,San Gabriel Valley,CA,SW,San Gabriel Valley,M3,Reservoir,Associated
Paskenta Rancheria,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Paso Robles,CA-SW 27 San Luis Obispo County,San Luis Obispo County,CA,SW,Los Angeles,M2,,
Patterson,CA-NI 07 Stanislaus County,Stanislaus County,CA,NI,Fresno,M2,,
Pauma & Yuima Reservation,CA-SE 13 Escondido,Escondido,CA,SE,San Diego,M3,,
Pechanga Reservation,CA-SE 07 Temecula,Temecula,CA,SE,San Diego,M2,,
Perris,CA-SE 07 Temecula,Temecula,CA,SE,San Diego,M2,,
Petaluma,CA-NC 14 Sonoma County,Sonoma County,CA,NC,East Bay,M2,,
Picayune Rancheria,CA-NI 05 Madera County North,Madera County North,CA,NI,Fresno,M2,,
Pico Rivera,CA-SW 30 Whittier,Whittier,CA,SW,San Gabriel Valley,M2,,
Piedmont,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Pinole,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Pinoleville Rancheria,CA-NC 22 Mendocino County,Mendocino County,CA,NC,East Bay,M2,,
